id,title,author,authors,isbn13,isbn10,price,publisher,pubyear,subjects,lexile,pages,dimensions
483,Every Shut Eye Ain't Asleep; An Anthology of Poetry by African Americans since 1945,Michael S. Harper,"Michael S. Harper, Anthony Walton",9780316347105,316347108,$18.40,Hachette Book Group,1994,"Poetry Anthologies, American Poetry, American Literature Anthologies",,344.0,5.50 (w) x 8.50 (h) x 0.77 (d)
377,Black Silk: A Collection of African-American Erotica,Retha Powers,Retha Powers,9780446676915,446676918,$23.21,Hachette Book Group,2002,"Short Story Anthologies, African Americans - Fiction & Literature, Peoples & Cultures - American Anthologies, Erotica",,356.0,5.00 (w) x 8.00 (h) x 0.79 (d)
406,Best American Magazine Writing 2004,American Society Of Magazine Editors,"American Society Of Magazine Editors, Susan Orlean",9780060749538,60749539,$1.99,HarperCollins Publishers,2004,"Other Media, Journalism, American Literature Anthologies",,560.0,5.31 (w) x 8.00 (h) x 0.89 (d)
105,Modern American Memoirs,Annie Dillard,"Annie Dillard, Cort Conley",9780060927639,60927631,$11.99,HarperCollins Publishers,1996,"Historical Biography - United States - General & Miscellaneous, U.S. Authors - 20th Century - Literary Biography, American Literature Anthologies",,464.0,5.31 (w) x 8.00 (h) x 1.04 (d)
308,Motherland: Writings by Irish American Women about Mothers and Daughters,Caledonia Kearns,"Caledonia Kearns, Caledonia Kearns",9780688175863,688175864,$13.95,HarperCollins Publishers,2000,"Family - Assorted Topics, American Literature Anthologies, General & Miscellaneous Literature Anthologies",,276.0,5.00 (w) x 8.00 (h) x 0.62 (d)
186,Queer 13: Lesbian and Gay Writers Recall Seventh Grade,Clifford Chase,Clifford Chase,9780688171612,688171613,$15.95,HarperCollins Publishers,1999,"Biographies &amp; Autobiographies, General",,,
103,Mental Floss: Scatterbrained,Editors Of Mental Floss,"Editors Of Mental Floss, Gre, Ransom Riggs, Will Hickman, John Green",9780060882501,60882506,$10.72,HarperCollins Publishers,2006,"Humor, American Literature Anthologies, General Reference",,256.0,7.18 (w) x 10.90 (h) x 0.68 (d)
379,"Damage Control: Women on the Therapists, Beauticians, and Trainers Who Navigate Their Bodies",Emma Forrest,Emma Forrest,9780061175350,61175358,$8.99,HarperCollins Publishers,2007,"Women Authors - Literature Anthologies, Essays and Individual Humorists, American Literature Anthologies",,304.0,5.31 (w) x 8.00 (h) x 0.68 (d)
66,Best Poems of the English Language: From Chaucer Through Robert Frost,Harold Bloom,Harold Bloom,9780060540425,60540427,$15.79,HarperCollins Publishers,2007,"Poetry, American Literature Anthologies, Anthologies, English, Irish, & Scottish Poetry",,1008.0,6.10 (w) x 9.20 (h) x 1.80 (d)
67,Humor Me: An Anthology of Funny Contemporary Writing (Plus Some Great Old Stuff Too),Ian Frazier,Ian Frazier,9780061728945,61728942,$25.99,HarperCollins Publishers,2010,"Humor, General",,,
480,More Mirth of a Nation: The Best Contemporary Humor,Michael J. Rosen,"Michael J. Rosen, Michael J. Rosen",9780060953225,60953225,$15.95,HarperCollins Publishers,2002,"Fiction, Humorous",,,
272,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,"Paul Auster, Paul Auster",9780060874117,60874112,$34.95,HarperCollins Publishers,2005,Literary Collections,,,
175,Rag and Bone Shop of the Heart: A Poetry Anthology,Robert Bly,"Robert Bly, James Hillman, Michael Meade",9780060924201,60924209,$13.82,HarperCollins Publishers,1993,"Poetry Anthologies, American Poetry, American Literature Anthologies",,560.0,5.31 (w) x 8.00 (h) x 1.26 (d)
129,"I Am Not My Breast Cancer: Women Talk Openly about Love and Sex, Hair Loss and Weight Gain, Mothers and Daughters, and Being a Woman with Breast Cancer",Ruth Peltason,"Ruth Peltason, Peter I. Pressman",9780061174070,61174076,$15.95,HarperCollins Publishers,2008,"Health &amp; Fitness, Women's Health",,,
287,The Best of the West: An Anthology of Classic Writing from the American West,Tony Hillerman,Tony Hillerman,9780060923525,60923520,$18.28,HarperCollins Publishers,1992,"Fiction, United States History - Western, Plains & Rocky Mountain Region, Americas - General & Miscellaneous History, American Literature Anthologies, United States History - General & Miscellaneous, Civilization - History, Fiction Subjects",,544.0,5.31 (w) x 8.00 (h) x 1.22 (d)
45,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Wally Lamb,"Wally Lamb, Diane Bartholomew, Nancy Birkla, Robin Cullen, Brenda Medina",9780060595371,006059537X,$10.59,HarperCollins Publishers,2004,"American Literature Anthologies, Penology & Correctional Studies, True Crime",,368.0,6.00 (w) x 9.00 (h) x 0.92 (d)
64,I'll Fly Away: Further Testimonies from the Women of York Prison,Wally Lamb,"Wally Lamb, I'll Fly Away Contributors",9780061626395,61626392,$10.99,HarperCollins Publishers,2008,"Penology & Correctional Studies - General & Miscellaneous, Prisons & Prison Life, American Literature Anthologies",,288.0,5.30 (w) x 7.90 (h) x 0.80 (d)
466,Writing New England: An Anthology from the Puritans to the Present,Andrew Delbanco,Andrew Delbanco,9780674006034,674006038,$1.99,Harvard University Press,2001,Regional American Anthologies,,512.0,6.42 (w) x 9.46 (h) x 1.49 (d)
408,Ethnic Modernism,Werner Sollors,Werner Sollors,9780674030916,674030915,$19.97,Harvard University Press,2008,"Modernism - Literary Movements, Literary Criticism - General & Miscellaneous, 20th Century American Literature - General & Miscellaneous - Literary Criticism, Society & Culture in Literature, Literary Criticism - U.S. Fiction & Prose Literature - General",,336.0,6.10 (w) x 9.20 (h) x 0.90 (d)
201,American Protest Literature,Zoe Trodd,"Zoe Trodd, Howard Zinn, John Stauffer",9780674027633,674027639,$16.45,Harvard University Press,2008,"Political Protest & Dissent, Political Activism & Social Action, Radical Thought, American Literature Anthologies",,576.0,5.90 (w) x 9.10 (h) x 1.20 (d)
30,Running Towards Us: New Writing from South Africa,Isabel Balseiro,"Isabel Balseiro, Isabel Balseiro",9780325002118,325002118,$33.63,Heinemann,2000,African Literature Anthologies,,216.0,5.90 (w) x 9.10 (h) x 0.50 (d)
22,Less Than One and Double: A Feminist Reading of African Women's Writing,Kenneth W. Harrow,Kenneth W. Harrow,9780325070254,325070253,$116.43,Heinemann,2001,"Literary Criticism - General & Miscellaneous, General & Miscellaneous African Literature - Literary Criticism, Women Authors - General & Miscellaneous - Literary Criticism, African Literature Anthologies",,384.0,
1,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,"Yvonne Vera, Yvonne Vera",9780435910105,435910108,$14.52,Heinemann,1999,"General & Miscellaneous Literature Anthologies, Anthologies",,186.0,5.07 (w) x 7.78 (h) x 0.42 (d)
431,Inlandia,Gayle Wattawa,"Gayle Wattawa, Susan Straight",9781597140379,1597140376,$18.34,Heyday Books,2006,"Regional American Anthologies, American Literature Anthologies",,448.0,6.10 (w) x 8.98 (h) x 1.15 (d)
341,Califauna: A Literary Field Guide,Terry Beers,"Terry Beers, Emily Elrod",9781597140492,159714049X,$21.29,Heyday Books,2007,"Animals - General, Nature, American Literature Anthologies, General & Miscellaneous Literature Anthologies, Plants & Fungi",,464.0,6.18 (w) x 9.00 (h) x 0.76 (d)
298,Essential Saroyan,William Saroyan,"William Saroyan, William E. Justice",9781597140010,1597140015,$11.57,Heyday Books,2005,Regional American Anthologies,,192.0,5.60 (w) x 8.58 (h) x 0.60 (d)
429,The Classic Hundred Poems: All-Time Favorites,William Harmon,"William Harmon, Various, Ensemble cast",9781598875782,1598875787,$29.95,HighBridge Company,2007,"Poetry, Anthologies (multiple authors)",,,
432,Literary Savannah,Patrick Allen,Patrick Allen,9781892514011,189251401X,$16.95,"Hill Street Press, LLC",2006,"Travel, Museums, Tours, Points of Interest",,,
